CALLID,adaptedasr_trans,adapted_person,adapted_location,adapted_time,transcript,ner_person,ner_location,ner_time
en02M_NT-RE245e0716593e88ae1851d917654a7e2d_B_001600_003085,"paul speaking 
",['paul'],[],[],hello. paul speaking.,['paul'],[],[]
en02M_NT-RE245e0716593e88ae1851d917654a7e2d_B_005710_008535,"hi kristi new number i didn't recognize here 
",['kristi'],[],[],kristýna you've got a new number. i didn't recognize it.,['kristýna'],[],[]
en02M_NT-RE245e0716593e88ae1851d917654a7e2d_B_014090_014475,"
",[],[],[],okay.,[],[],[]
en02M_NT-RE245e0716593e88ae1851d917654a7e2d_B_016070_018945,"please of course yeah i'm free go ahead go ahead 
",[],[],[],please of course yeah i'm free go ahead go ahead.,[],[],[]
en02M_NT-RE245e0716593e88ae1851d917654a7e2d_B_033660_034185,"yeah 
",[],[],[],fine.,[],[],[]
en02M_NT-RE245e0716593e88ae1851d917654a7e2d_B_049150_050745,"okay thanks nice 
",[],[],[],dogsitting nice.,[],[],[]
en02M_NT-RE245e0716593e88ae1851d917654a7e2d_B_051240_051865,"yeah 
",[],[],[],yeah.,[],[],[]
en02M_NT-RE245e0716593e88ae1851d917654a7e2d_B_058250_061965,"actually you know i do have a dog and you won't believe this a poodle 
",[],[],[],actually you know i do have a dog and you won't believe this i have a poodle.,[],[],[]
en02M_NT-RE245e0716593e88ae1851d917654a7e2d_B_064680_065245,"yeah 
",[],[],[],yeah.,[],[],[]
en02M_NT-RE245e0716593e88ae1851d917654a7e2d_B_066300_067215,"his name's ron 
",['ron'],[],[],his name's ron.,['ron'],[],[]
en02M_NT-RE245e0716593e88ae1851d917654a7e2d_B_069080_070165,"his name is ron 
",['ron'],[],[],his name is ron.,[],[],[]
en02M_NT-RE245e0716593e88ae1851d917654a7e2d_B_072780_074385,"ron the ron as ronald 
",['ronald'],[],[],ron the ron as ronald.,['ronald'],[],[]
en02M_NT-RE245e0716593e88ae1851d917654a7e2d_B_075170_077285,"yeah ron the poodle yeah 
",['ron the poodle'],[],[],yeah ron the poodle,[],[],[]
en02M_NT-RE245e0716593e88ae1851d917654a7e2d_B_091810_092265,"
",[],[],[],i'm.,[],[],[]
en02M_NT-RE245e0716593e88ae1851d917654a7e2d_B_097350_100935,"equipment are you thinking a dog might need like 
",[],[],[],what equipment are you thinking of that a dog might need like,[],[],[]
en02M_NT-RE245e0716593e88ae1851d917654a7e2d_B_101680_108815,"like what a lead or or a muzzle you mean like for for for for for his mouth something like that 
",[],[],[],like what. a lead or or a muzzle? you mean like for for for for his mouth something like that or?,[],[],[]
en02M_NT-RE245e0716593e88ae1851d917654a7e2d_B_116900_118835,"muzzle muzzle muzzle 
",[],[],[],muzzle muzzle. it is called a muzzle.,[],[],[]
en02M_NT-RE245e0716593e88ae1851d917654a7e2d_B_119900_120405,"yeah 
",[],[],[],yeah.,[],[],[]
en02M_NT-RE245e0716593e88ae1851d917654a7e2d_B_121710_122435,"yeah 
",[],[],[],yeah. but.,[],[],[]
en02M_NT-RE245e0716593e88ae1851d917654a7e2d_B_125570_135085,"no i was gonna say the important thing now is is what kind of dog is it because obviously a poodle stuff for poodle won't fit a <unk> and vice versa so what kind of dog is it you are dog sitting 
",[],[],[],no i was gonna say the important thing now is is what kind of dog is it because obviously a poodle stuff for a poodle won't fit. a rottweiler and vice versa. so what kind of dog is it you are dog sitting?,[],[],[]
en02M_NT-RE245e0716593e88ae1851d917654a7e2d_B_156250_156935,"yeah 
",[],[],[],yeah.,[],[],[]
en02M_NT-RE245e0716593e88ae1851d917654a7e2d_B_161810_170245,"yeah yeah funny feeling maybe the dog sounds like is going to be too big but send me picture and i'll let you know if i've got anything which will fit in okay 
",[],[],[],yeah yeah. kinda i have a funny feeling maybe the dog sounds like is going to be too big but send me a picture and i'll let you know if i've got anything which will fit in okay?,[],[],[]
en02M_NT-RE245e0716593e88ae1851d917654a7e2d_B_172730_178055,"alright yeah no worries no worries alright i am waiting for the picture cheers 
",[],[],[],alright yeah. no worries no worries. alright i am waiting for the picture cheers.,[],[],[]
en02M_NT-RE245e0716593e88ae1851d917654a7e2d_B_179200_180385,"alright bye bye 
",[],[],[],bye bye. alright.,[],[],[]
en02M_NT-RE6ecb9a199d5fcaa6ac0d565933643e0c_changed_B_001010_002425,"paul speaking hello 
",['paul'],[],[],paul speaking. hello.,['paul'],[],[]
en02M_NT-RE6ecb9a199d5fcaa6ac0d565933643e0c_changed_B_005700_007725,"hello how are you 
",[],[],[],kristýna hello. how are you?,['kristýna'],[],[]
en02M_NT-RE6ecb9a199d5fcaa6ac0d565933643e0c_changed_B_012530_024375,"wonder haven't you changed your number somehow i don't know it's the number's hidden i don't don't know what's going on i've been having some trouble with the phone recently so i might be have to look into it sorry about that how are you doing alright 
",[],[],[],wonder. haven't you changed your number? somehow i don't know it's the number's hidden i don't don't know what's going on i've been having some trouble with the phone recently so i might be have to look into it. sorry about that. how are you doing? alright?,[],[],[]
en02M_NT-RE6ecb9a199d5fcaa6ac0d565933643e0c_changed_B_033740_034315,"yeah 
",[],[],[],yeah.,[],[],[]
en02M_NT-RE6ecb9a199d5fcaa6ac0d565933643e0c_changed_B_041390_041825,"yeah 
",[],[],[],yeah.,[],[],[]
en02M_NT-RE6ecb9a199d5fcaa6ac0d565933643e0c_changed_B_050960_051525,"yeah 
",[],[],[],yeah.,[],[],[]
en02M_NT-RE6ecb9a199d5fcaa6ac0d565933643e0c_changed_B_054670_102040,"it's a nightmare now it's a nightmare i know i know it's terrible i had the same problem with them but it's not you know it's not just czech <unk> problem it's like for example <unk> it's happened to me more than one time now they they send you a message and they say they're gonna come between a certain time so they've got like two hour window when they supposed to come and deliver your gift and it's happened twice now that they haven't come at all and then when you go on the website to you know like tracking to see where it is then they've got written there that i was unavailable or i wasn't at home which is complete lie because i was waiting at home for them for whenever they call me and then they said that i wasn't at home so they have to bring it the next day it's a nightmare really is really is 
",[],[],"['two hour', 'the next day']",it's a nightmare now. it's a nightmare. i know i know it's terrible. i had the same problem with them but it's not you know it's not just czech post's problem. it's like for example d p d. it's happened to me more than one time now . they they send you a message and they say they're gonna come between a certain time so they've got like a two hour window when they supposed to come and deliver your gift and it's happened twice now that they haven't come at all and then when you go on the website to you know like tracking to see where it is then they've got written there that i was unavailable or i wasn't at home which is a complete lie because i was waiting at home for them for whenever they call me. and then they said that i wasn't at home. so they have to bring it the next day. it's a nightmare at the moment man. it really is really is.,[],[],"['two hour', 'the next day']"
en02M_NT-RE6ecb9a199d5fcaa6ac0d565933643e0c_changed_B_114910_115355,"yeah 
",[],[],[],yeah.,[],[],[]
en02M_NT-RE6ecb9a199d5fcaa6ac0d565933643e0c_changed_B_120910_121405,"yeah 
",[],[],[],yeah.,[],[],[]
en02M_NT-RE6ecb9a199d5fcaa6ac0d565933643e0c_changed_B_123050_123555,"yeah 
",[],[],[],yeah.,[],[],[]
en02M_NT-RE6ecb9a199d5fcaa6ac0d565933643e0c_changed_B_127450_128995,"yeah yeah 
",[],[],[],yeah yeah.,[],[],[]
en02M_NT-RE6ecb9a199d5fcaa6ac0d565933643e0c_changed_B_130280_149942,"well it's i guess it's like christmas is always busy right but now it's even worse because no one could go to the shops normally so everyone everyone sending everything by by courier so i guess i can understand they're really busy but at the same time they should they should kind of change the way they do things a bit or at least keep people informed but oh well well 
",[],[],[],well it's i guess it's like christmas is always busy right but now it's even worse because no one could go to the shops normally so everyone everyone sending everything by by courier. so i guess i can understand they're really busy but at the same time they should they should kind of change the way they do things a little bit or at least keep people informed but.,[],[],['christmas']
en02M_NT-RE6ecb9a199d5fcaa6ac0d565933643e0c_changed_B_148410_149945,"well well 
",[],[],[],well well.,[],[],[]
en02M_NT-RE6ecb9a199d5fcaa6ac0d565933643e0c_changed_B_152137_154225,"you know 
",[],[],[],you know.,[],[],[]
en02M_NT-RE6ecb9a199d5fcaa6ac0d565933643e0c_changed_B_155370_175960,"basically yeah i think i've got like two or three presents left and obviously they are bought and ordered but i'm waiting for the i'm waiting for delivery now actually he's got another three minutes to get here and then it's the end of his window so we'll see it should be coming in the next couple of minutes hopefully yeah and you have you got all of yours done or not 
",[],[],"['another three minutes', 'the next couple of minutes']",basically yeah i think i've got like two or three presents left and obviously they are bought and ordered but i'm waiting for the i'm waiting for a delivery now actually he's got another three minutes to get here and then it's the end of his window. so we'll we'll see it should be coming in the next couple of minutes hopefully yeah and you. have you got all of yours done or not?,[],[],"['three minutes', 'the next couple of minutes']"
en02M_NT-RE6ecb9a199d5fcaa6ac0d565933643e0c_changed_B_186560_187065,"yeah 
",[],[],[],yeah.,[],[],[]
en02M_NT-RE6ecb9a199d5fcaa6ac0d565933643e0c_changed_B_188090_190715,"cool cool good one excellent 
",[],[],[],cool cool. good one excellent.,[],[],[]
en02M_NT-RE6ecb9a199d5fcaa6ac0d565933643e0c_changed_B_194930_196155,"that's it that's it 
",[],[],[],that's it that's it.,[],[],[]
en02M_NT-RE6ecb9a199d5fcaa6ac0d565933643e0c_changed_B_196830_200545,"alright take it easy <unk> thanks nice to hear you 
",[],[],[],alright take it easy kristýna. thanks. nice to hear you.,[],[],[]
en02M_NT-RE6ecb9a199d5fcaa6ac0d565933643e0c_changed_B_201370_203345,"bye bye bye bye 
",[],[],[],tschuss. bye bye.,[],[],[]
en02M_NT-REa6c8d491c9f016670022cf8aed3e7051_B_000000_003005,"<unk> hello how are you 
",[],[],[],kristýna ahoj hello. how are you.,['kristýna'],[],[]
en02M_NT-REa6c8d491c9f016670022cf8aed3e7051_B_007470_009665,"who is minute for you yes go ahead 
",[],[],[],i've always got a minute for you yes go ahead.,[],[],[]
en02M_NT-REa6c8d491c9f016670022cf8aed3e7051_B_013690_014155,"
",[],[],[],um.,[],[],[]
en02M_NT-REa6c8d491c9f016670022cf8aed3e7051_B_028300_028865,"yeah 
",[],[],[],um.,[],[],[]
en02M_NT-REa6c8d491c9f016670022cf8aed3e7051_B_031790_032685,"that's very kind 
",[],[],[],that's very kind.,[],[],[]
en02M_NT-REa6c8d491c9f016670022cf8aed3e7051_B_036130_046075,"well i mean what did your friend like to eat does she like to eat meat or does she prefer to to to eat like vegetables or or she's vegetarian vegan or does she what does she like 
",[],[],[],well i mean what did your friend like to eat does she like to eat meat or does she prefer to to to eat like vegetables or or she's vegetarian vegan or does she what does she like.,[],[],[]
en02M_NT-REa6c8d491c9f016670022cf8aed3e7051_B_059040_060025,"ah 
",[],[],[],ah.,[],[],[]
en02M_NT-REa6c8d491c9f016670022cf8aed3e7051_B_060830_072335,"alright so she she she she likes meat then well i mean i mean my <unk> classic my <unk> classic is is veal <unk> really veal <unk> 
",[],[],[],alright so she she likes meat then well i mean i mean my favourite classic my favourite classic is is veal schnitzel really veal schnitzel.,[],[],[]
en02M_NT-REa6c8d491c9f016670022cf8aed3e7051_B_073250_146420,"but so it's not really very complicated not a very complicated recipe you know i mean it's just just some nice cuts of veal and just you know hammer them hammer them so they're quite thin but not too much so they stay little bit juicy and obviously obviously salt them very lightly and then classic well i suppose i suppose two layers of two layers of bread crumb so it would be it would be obviously egg flour egg bread crumb and then the same again egg flour egg bread crumb and then they say that the the best thing to use is to fry it but not in oil but in butter so you need quite a butter probably about probably about hundred hundred and fifty grams of butter in a pan melt it down and then put it on a put it on a low heat something like let's say four or five and then just let the <unk> cook them probably quite slowly so maybe seven or eight minutes on each side in the butter and then of course you should have potatoes salad with have you got recipe for potatoes salad 
",[],[],['seven or eight minutes'],but so it's not really very complicated not a very complicated recipe you know i mean it's just just some nice cuts of veal and just you know hammer them hammer them so they're quite thin but not too much so they stay a little bit juicy and obviously obviously salt them very lightly and then classic well i suppose i suppose two layers of two layers of bread crumb so it would be it would be obviously egg flour egg bread crumb and then the same again egg flour egg bread crumb and then they say that the the best thing to use is to fry it. but not in oil but in butter so you need quite a lot of butter probably about probably about hundred hundred and fifty grams of butter in a pan melt it down and then put it on a put it on a low heat something like let's say four or five and then just let the schnitzel or rise let the schnitzel cook them probably quite slowly so maybe seven or eight minutes on each side in the butter and then of course you should have potatoes salad with have you got a recipe for potatoes salad.,[],[],['seven or eight minutes']
en02M_NT-REa6c8d491c9f016670022cf8aed3e7051_B_150690_152295,"but have you got recipe for one 
",[],[],[],but have you got a recipe for one.,[],[],[]
en02M_NT-REa6c8d491c9f016670022cf8aed3e7051_B_154820_155335,"good 
",[],[],[],good.,[],[],[]
en02M_NT-REa6c8d491c9f016670022cf8aed3e7051_B_158900_160045,"so i think she 
",[],[],[],so i think if she likes.,[],[],[]
en02M_NT-REa6c8d491c9f016670022cf8aed3e7051_B_160860_171815,"yeah yeah yeah well yeah good one so i mean i don't know it's it's not too complicated is quite quick and are you know it's super tasty so i do that if i were you that's my suggestion 
",[],[],[],yeah yeah yeah well good one so i mean i don't now it is not too complicated is quite quick and you know it's super tasty so i do that if i were you that's my suggestion.,[],[],[]
en02M_NT-REa6c8d491c9f016670022cf8aed3e7051_B_172310_172845,"yeah 
",[],[],[],yeah.,[],[],[]
en02M_NT-REa6c8d491c9f016670022cf8aed3e7051_B_176670_177215,"
",[],[],[],alright.,[],[],[]
en02M_NT-REa6c8d491c9f016670022cf8aed3e7051_B_177700_178175,"good 
",[],[],[],good.,[],[],[]
en02M_NT-REa6c8d491c9f016670022cf8aed3e7051_B_179870_181035,"nice one alright 
",[],[],[],nice one alright.,[],[],[]
en02M_NT-REa6c8d491c9f016670022cf8aed3e7051_B_182270_184975,"yeah always no problem enjoy 
",[],[],[],yeah always no problem enjoy.,[],[],[]
en02M_NT-REa6c8d491c9f016670022cf8aed3e7051_B_186980_189755,"alright take it easy <unk> bye bye 
",[],[],[],alright take it easy kristýna bye bye.,['kristýna'],[],[]
en02M_NT-REbae4cb0024e82a6c6b69d2ba25e52629_A_002191_002542,"
",[],[],[],hello.,[],[],[]
en02M_NT-REbae4cb0024e82a6c6b69d2ba25e52629_A_003068_004235,"hi kristi now 
",['kristi'],[],[],hi kristýna.,['kristýna'],[],[]
en02M_NT-REbae4cb0024e82a6c6b69d2ba25e52629_A_005560_006505,"yeah 
",[],[],[],it's paul here.,['paul'],[],[]
en02M_NT-REbae4cb0024e82a6c6b69d2ba25e52629_A_007240_008605,"i'm really well how are you doing 
",[],[],[],i'm really well. how are you doing.,[],[],[]
en02M_NT-REbae4cb0024e82a6c6b69d2ba25e52629_A_013690_014275,"yeah 
",[],[],[],yeah.,[],[],[]
en02M_NT-REbae4cb0024e82a6c6b69d2ba25e52629_A_019540_020345,"yeah 
",[],[],[],lovely.,[],[],[]
en02M_NT-REbae4cb0024e82a6c6b69d2ba25e52629_A_021150_060635,"i tell you what i skipped some of the ring because i saw the most amazing thing this morning looking out yeah you won't believe it and i've had really good idea as well i was looking out of the window this morning and you know i saw because i've got trees just outside the the terrace here an old walnut trees and i saw three squirrels they were chasing each other from branch to branch you know the squirrels there running up the tree yes seriously they were jumping quickly from branch to branch they were chasing each other were playing with each other and i had the amazing idea that i would write a children's book about a trio of squirrels that's my new project now my new project 
",[],[],[],i tell you what i skipped some of the ring because i saw the most amazing thing this morning looking out yeah you won't believe it and i've had really good idea as well i was looking out of the window this morning and you know i saw because i've got trees just outside the the terrace here an old walnut trees and i saw three squirrels they were chasing each other from branch to branch you know the squirrels there running up the tree yes seriously they were jumping quickly from branch to branch they were chasing each other were playing with each other and i had the amazing idea that i would write a children's book about a trio of squirrels that's my new project now my new project.,[],[],"['this morning', 'this morning']"
en02M_NT-REbae4cb0024e82a6c6b69d2ba25e52629_A_064010_064705,"really 
",[],[],[],no really.,[],[],[]
en02M_NT-REbae4cb0024e82a6c6b69d2ba25e52629_A_065420_070405,"yeah they called they called <unk> <unk> and <unk> these the name of the three squirrels 
",[],[],[],yeah they called they called coodly oodly and shmoodly these the name of the three squirrels.,"['coodly', 'oodly', 'shmoodly']",[],[]
en02M_NT-REbae4cb0024e82a6c6b69d2ba25e52629_A_080530_094225,"exactly that another it's not it a as well is to ask you if you would know anyone who is like is like an illustrator someone who could maybe be interested in like <unk> some kind of book like that 
",[],[],[],exactly that another it's not it a as well is to ask you if you would know anyone who is like is like an illustrator someone who could maybe be interested in like illustrating some kind of book like that.,[],[],[]
en02M_NT-REbae4cb0024e82a6c6b69d2ba25e52629_A_095510_096345,"do you know anyone 
",[],[],[],do you know anyone.,[],[],[]
en02M_NT-REbae4cb0024e82a6c6b69d2ba25e52629_A_109340_109845,"
",[],[],[],a.,[],[],[]
en02M_NT-REbae4cb0024e82a6c6b69d2ba25e52629_A_115040_115635,"yeah 
",[],[],[],yeah.,[],[],[]
en02M_NT-REbae4cb0024e82a6c6b69d2ba25e52629_A_119640_120255,"okay 
",[],[],[],okay.,[],[],[]
en02M_NT-REbae4cb0024e82a6c6b69d2ba25e52629_A_125040_125575,"yeah 
",[],[],[],yeah.,[],[],[]
en02M_NT-REbae4cb0024e82a6c6b69d2ba25e52629_A_127700_128365,"okay 
",[],[],[],okay.,[],[],[]
en02M_NT-REbae4cb0024e82a6c6b69d2ba25e52629_A_129240_136905,"nice one when i have a draft i'll i'll let you know a draft i'll sent it to you can never read through and yeah 
",[],[],[],nice one when i have a draft when i have a draft i'll i'll let you know when i have a draft i'll sent it to you can have a read through and yeah.,[],[],[]
en02M_NT-REbae4cb0024e82a6c6b69d2ba25e52629_A_137400_144945,"cool good well i need you to tell someone and you never <unk> of alright thanks <unk> thanks 
",[],[],[],cool good well i need you to tell someone and you never heared of alright thanks kristýna thanks.,['kristýna'],[],[]
en02M_NT-REbae4cb0024e82a6c6b69d2ba25e52629_A_146960_150455,"nice one yeah please do please do yes alright take it easy 
",[],[],[],nice one yeah please do please do yes alright take it easy.,[],[],[]
en02M_NT-REbae4cb0024e82a6c6b69d2ba25e52629_A_151040_151625,"bye 
",[],[],[],bye bye.,[],[],[]
en03M-CHR3_2621344_B_013810_016655,"hello how hi johan it's <unk> 
",['johan'],[],[],hello. how hi johan it's damir.,"['johan', 'damir']",[],[]
en03M-CHR3_2621344_B_017140_028500,"listen i'm yeah i'm here we still need have to talk ab about something on the workshop a few topics we need to cover when will you be back 
",[],[],[],listen. i'm yeah i'm here. we still need have to talk about something on the workshop. a few topics we need to cover. when will you be back?,[],[],[]
en03M-CHR3_2621344_B_041720_042305,"yeah 
",[],[],[],,[],[],[]
en03M-CHR3_2621344_B_050630_056362,"okay i'm sorry i was just checking out will you be back or not just to cover some more 
",[],[],[],okay don't worry i was just checking out will you be back or not. just to cover some more things.,[],[],[]
en03M-CHR3_2621344_B_056362_059932,"i know it was boring all day but yeah it's like this 
",[],[],[],i know it was boring all day but yeah it's like this.,[],[],[]
en03M-CHR3_2621344_B_061080_064715,"okay enjoy the air and see you soon bye bye 
",[],[],[],okay enjoy the air and see you soon. bye bye.,[],[],[]
en03M-CHR3_2621344_B_067090_067455,"
",[],[],[],bye.,[],[],[]
en03M-CHR3_2621471_A_005390_009825,"hello hi <unk> it's <unk> from the croatian police 
",[],[],[],hello hi zijian. it's damir from the croatian police.,"['zijian', 'damir']",[],[]
en03M-CHR3_2621471_A_010520_022765,"yeah yeah yeah we are so we were working on some project and i have remembered that you were interested i about cooperation in <unk> projects 
",[],[],[],listen. yeah yeah yeah we are so we were working on some project and i have remembered that you were interested about cooperation in horizon europe projects.,[],[],[]
en03M-CHR3_2621471_A_023310_029685,"so we have some we have some new project about trafficking of goods 
",[],[],[],so we have some we have some new project about trafficking of goods.,[],[],[]
en03M-CHR3_2621471_A_029696_037398,"so maybe your university would be interested to to be a part of the project to do some 
",[],[],[],so maybe your university would be interested to to be a part of of the project. to do some.,[],[],[]
en03M-CHR3_2621471_A_038530_041475,"some social network analysis or something like this 
",[],[],[],some social network analysis or something like this.,[],[],[]
en03M-CHR3_2621471_A_056460_059205,"yeah well if i can or 
",[],[],[],yeah well if i can,[],[],[]
en03M-CHR3_2621471_A_059730_069835,"not stuff now on the phone i will be in germany soon so maybe we can arrange the meeting in a week or two and i can come with the coordinates 
",[],['germany'],['a week or two'],not talk now on the phone. i will be in germany soon so maybe we can arange a meeting in a week or two and i can come with the coordinator.,[],['germany'],['a week or two']
en03M-CHR3_2621471_A_070384_072199,"tell you everything about this 
",[],[],[],tell you everything about this.,[],[],[]
en03M-CHR3_2621471_A_072930_077475,"i just calling you to see if you have any so that's perfect perfect thank you 
",[],[],[],i just calling you to see if you have any interest to to participate in this kind of project.,[],[],[]
en03M-CHR3_2621471_A_079430_079855,"yeah 
",[],[],[],yeah.,[],[],[]
en03M-CHR3_2621471_A_080440_084825,"okay can you can you hear me or send me or 
",[],[],[],okay. can you can you give me or send me your .,[],[],[]
en03M-CHR3_2621471_A_085135_086648,"yeah 
",[],[],[],your .,[],[],[]
en03M-CHR3_2621471_A_087000_090315,"address where can we meet or something like this 
",[],[],[],address? where can we meet or something like this?,[],[],[]
en03M-CHR3_2621471_A_092172_092537,"yeah 
",[],[],[],yeah.,[],[],[]
en03M-CHR3_2621471_A_094750_096445,"okay thank you very much 
",[],[],[],okay. thank you very much.,[],[],[]
en03M-CHR3_2621471_A_097560_098925,"bye bye 
",[],[],[],enjoy. bye bye.,[],[],[]
en03M-CHR3_2621471_A_100800_101855,"yeah 
",[],[],[],bye.,[],[],[]
en03M-kvjp5rhk--zn2yv5-19zxkdrnrc91kcrejfm_UDP-0_RTP_1_B_038530_039898,"hello 
",[],[],[],hallo.,[],[],[]
en03M-kvjp5rhk--zn2yv5-19zxkdrnrc91kcrejfm_UDP-0_RTP_1_B_042870_044275,"yeah 
",[],[],[],yes. who is that?,[],[],[]
en03M-kvjp5rhk--zn2yv5-19zxkdrnrc91kcrejfm_UDP-0_RTP_1_B_046310_049735,"how are you i don't i don't recognize that number 
",[],[],[],slava. it's you. well i don't i don't recognize that number.,['slava'],[],[]
en03M-kvjp5rhk--zn2yv5-19zxkdrnrc91kcrejfm_UDP-0_RTP_1_B_061210_065146,"no no problem no problem i was waiting for your call 
",[],[],[],no no problem. no problem. i was waiting for your call,[],[],[]
en03M-kvjp5rhk--zn2yv5-19zxkdrnrc91kcrejfm_UDP-0_RTP_1_B_065525_067105,"so when do you expect to arrive 
",[],[],[],so when do you expect to arrive?,[],[],[]
en03M-kvjp5rhk--zn2yv5-19zxkdrnrc91kcrejfm_UDP-0_RTP_1_B_071050_079864,"in one hour okay can we meet at the <unk> it's around two kilometers from the venue where the workshop is 
",[],[],['one hour'],in one hour. okay. can we meet at it's around two kilometers from the venue where the workshop is.,[],[],['one hour']
en03M-kvjp5rhk--zn2yv5-19zxkdrnrc91kcrejfm_UDP-0_RTP_1_B_080340_083145,"that eat or 
",[],[],[],it's z e r,[],[],[]
en03M-kvjp5rhk--zn2yv5-19zxkdrnrc91kcrejfm_UDP-0_RTP_1_B_084230_086814,"yeah we can have a dinner and drink some beer 
",[],[],[],yeah. we can have a dinner and drink some beer.,[],[],[]
en03M-kvjp5rhk--zn2yv5-19zxkdrnrc91kcrejfm_UDP-0_RTP_1_B_087051_087885,"you were there 
",[],[],[],you were there.,[],[],[]
en03M-kvjp5rhk--zn2yv5-19zxkdrnrc91kcrejfm_UDP-0_RTP_1_B_088500_090845,"excellent okay excellent 
",[],[],[],excellent. okay. excellent.,[],[],[]
en03M-kvjp5rhk--zn2yv5-19zxkdrnrc91kcrejfm_UDP-0_RTP_1_B_094380_098415,"no problem looking forward to see you and take care on the roads okay 
",[],[],[],no problem. looking forward to see you and take care on the roads. okay?,[],[],[]
en03M-kvjp5rhk--zn2yv5-19zxkdrnrc91kcrejfm_UDP-0_RTP_1_B_100650_102085,"thanks bye bye 
",[],[],[],thanks. bye bye.,[],[],[]
en04M-CHR3_2621442_A_014110_016715,"hello hi johan how are you 
",['johan'],[],[],hello hi johan. how are you?,['johan'],[],[]
en04M-CHR3_2621442_A_025560_031815,"because i didn't see you around i wanted to give you a call so you left the building already 
",[],[],[],because i didn't see you around i wanted to give you a call. so you left the building already then?,[],[],[]
en04M-CHR3_2621442_A_037410_040265,"okay okay so you're you're going back 
",[],[],[],okay okay. so you're you're going back?,[],[],[]
en04M-CHR3_2621442_A_040820_042595,"are you taking the 
",[],[],[],are you taking the?,[],[],[]
en04M-CHR3_2621442_A_043600_045115,"okay 
",[],[],[],okay,[],[],[]
en04M-CHR3_2621442_A_046260_050839,"okay so just let me know when we could speak later 
",[],[],[],okay so just let me know when we could speak later.,[],[],[]
en04M-CHR3_2621442_A_051136_054674,"and i be interested to talk to you again when you feel 
",[],[],[],and i be interested to talk to you again when you feel.,[],[],[]
en04M-CHR3_2621442_A_055270_056045,"feel better 
",[],[],[],feel better.,[],[],[]
en04M-CHR3_2621442_A_068610_073335,"okay sure sure we can also go out for lunch time 
",[],[],[],okay sure sure. we can also go out for lunch time.,[],[],[]
en04M-CHR3_2621442_A_073960_075625,"if you like we can meet somewhere 
",[],[],[],if you like we can meet somewhere.,[],[],[]
en04M-CHR3_2621442_A_077920_080795,"sure sure if i be glad to hear from you take care 
",[],[],[],sure sure. i be glad to hear from you. take care.,[],[],[]
en04M-CHR3_2621442_A_085280_086475,"bye thank you 
",[],[],[],bye bye. thank you.,[],[],[]
en04M-CHR3_2621483_B_008410_010285,"hello hi how are you 
",[],[],[],hello! hi how are you?,[],[],[]
en04M-CHR3_2621483_B_013050_019095,"thank you thank you good to hear from you and i i was talking to johan today 
",['johan'],[],[],thank you thank you good to hear from you i i was talking to johan today.,['johan'],[],[]
en04M-CHR3_2621483_B_019860_032545,"and he left the building early because he was not feeling well and we scheduled something for tomorrow lunch just wanted to let you know 
",[],[],['tomorrow'],and he left the building early because he was not feeling well and we scheduled something for tomorrow lunch just wanted to let you know.,[],[],['tomorrow']
en04M-CHR3_2621483_B_042960_043535,"really 
",[],[],[],really?,[],[],[]
en04M-CHR3_2621483_B_047590_053595,"no no he didn't but it's it's nice that you you already had plans 
",[],[],[],no no he didn't. but it's it's nice that you you already had plans.,[],[],[]
en04M-CHR3_2621483_B_054330_056065,"um 
",[],[],[],maybe.,[],[],[]
en04M-CHR3_2621483_B_070460_072165,"yes yes i do 
",[],[],[],yes yes. i do.,[],[],[]
en04M-CHR3_2621483_B_104530_115275,"that's great i would be happy to join you of course so you said seven thirty i may be a little bit late like i may be able to join you after eight 
",[],[],"['seven thirty', 'eight']",that's great i would be happy to join you. of course. so you said seven thirty i may be a little bit late like i may be able to join you after eight.,[],[],"['seven thirty', 'eight']"
en04M-CHR3_2621483_B_115750_119625,"that's that's that's fine please 
",[],[],[],but that's that's fine please .,[],[],[]
en04M-CHR3_2621483_B_130590_132955,"that would be great thank you very much 
",[],[],[],that would be great. thank you very much!,[],[],[]
en04M-CHR3_2621483_B_141050_142585,"perfect see you there 
",[],[],[],perfect! see you there.,[],[],[]
en04M-CHR3_2621483_B_143260_143945,"bye 
",[],[],[],bye bye.,[],[],[]
en05M-CHR3_2620625_A_007800_010505,"hello hello this is johan is this <unk> 
",['johan'],[],[],hello hello this is johan. is this zahra?,"['johan', 'zahra']",[],[]
en05M-CHR3_2620625_A_015210_017845,"yeah i'm good fine and how are you 
",[],[],[],yeah i'm good. fine. and how are you?,[],[],[]
en05M-CHR3_2620625_A_026490_034185,"yeah yeah and i've been at the meeting for like two hours i came basically little bit late but mo didn't miss so much it seems 
",[],[],['like two hours'],yea yea and i've been at the meeting for like two hours. i came basically little bit late but didn't miss so much it seems.,[],[],['like two hours']
en05M-CHR3_2620625_A_034940_040095,"so but i guess you will not join the meeting today right 
",[],[],[],so. but i guess you will not join the meeting today right?,[],[],['today']
en05M-CHR3_2620625_A_043080_043535,"yeah 
",[],[],[],yeah,[],[],[]
en05M-CHR3_2620625_A_044850_046855,"yeah good choice 
",[],[],[],yeah. good choice.,[],[],[]
en05M-CHR3_2620625_A_053360_054173,"yeah yeah 
",[],[],[],yeah yeah.,[],[],[]
