CALLID,ASR,ASR_boosted,asr_ner,asr_boosted_ner,asrbaseline_person,asrbaseline_location,asrbaseline_time,transcript,ner_person,ner_location,ner_time
cs06M-kvjlmcgx--zn2yv4-19zxkdrnrvolh1c62w6_UDP-0_RTP_1_A_213410_219005,"yeah but but the duty business like when we won't be in person
","yeah but but the dirty business like when we won't be in person
",,,[],[],[],yeah. better to leave business like when we will be in person.,[],[],[]
cs06M-kvjlmcgx--zn2yv4-19zxkdrnrvolh1c62w6_UDP-0_RTP_1_A_219610_220595,"no never know
","never know
",,,[],[],[],you never know.,[],[],[]
cs06M-kvjlmcgx--zn2yv4-19zxkdrnrvolh1c62w6_UDP-0_RTP_1_A_231160_231575,"yeah
","yeah
",,,[],[],[],yeah.,[],[],[]
cs06M-kvjlmcgx--zn2yv4-19zxkdrnrvolh1c62w6_UDP-0_RTP_1_A_235160_248185,"cool cool just just send being done g._p._s. location because still i'm almost like i said the last time so if you give me the the places are in advance i find it
","cool cool just just send being done g._p._s. location because i feel like most like i said the last time so if you give me the the places are in advance i find it
",,,[],[],[],cool. cool. just. just send me then g p s location because still i am lost like i said the last time so if you will give me the the places in advance i will find it for sure.,[],[],[]
cs06M-kvjlmcgx--zn2yv4-19zxkdrnrvolh1c62w6_UDP-0_RTP_1_A_267360_268984,"yeah that would be
","yeah that would be
",,,[],[],[],yeah that that would be,[],[],[]
cs06M-kvjlmcgx--zn2yv4-19zxkdrnrvolh1c62w6_UDP-0_RTP_1_A_269529_272765,"that would be women that yeah yeah you
","that would be that yeah yeah you
",,,[],[],[],that would be best. yeah. yeah. you,[],[],[]
cs06M-kvjlmcgx--zn2yv4-19zxkdrnrvolh1c62w6_UDP-0_RTP_1_A_273480_273854,"yeah
","yeah
",,,[],[],[],yeah.,[],[],[]
cs06M-kvjlmcgx--zn2yv4-19zxkdrnrvolh1c62w6_UDP-0_RTP_1_A_274370_277730,"that's interesting cause i think alison your heart
","that's interesting katja anything else on your heart
",['alison'],['katja'],['alison'],[],[],is that everything or do you have anything else on your heart,[],[],[]
cs06M-kvjlmcgx--zn2yv4-19zxkdrnrvolh1c62w6_UDP-0_RTP_1_A_286120_287044,"yeah yeah
","yeah yeah
",,,[],[],[],yeah. yeah.,[],[],[]
cs06M-kvjlmcgx--zn2yv4-19zxkdrnrvolh1c62w6_UDP-0_RTP_1_A_292010_296255,"yeah yeah i would be old style guy steve in this
","yeah yeah a little bit old style guy steeped in this
",,,[],[],[],yeah. yeah. i'm little bit old-style guy in with this,[],[],[]
cs06M-kvjlmcgx--zn2yv4-19zxkdrnrvolh1c62w6_UDP-0_RTP_1_A_300610_301205,"okay
","okay
",,,[],[],[],okay.,[],[],[]
cs06M-kvjlmcgx--zn2yv4-19zxkdrnrvolh1c62w6_UDP-0_RTP_1_A_321070_321515,"yeah
","yeah
",,,[],[],[],yeah.,[],[],[]
cs06M-kvjlmcgx--zn2yv4-19zxkdrnrvolh1c62w6_UDP-0_RTP_1_A_325290_328414,"yes sooner sooner better yeah
","yeah sooner sooner better yeah
",,,[],[],[],yeah. sooner. sooner better.,[],[],[]
cs06M-kvjlmcgx--zn2yv4-19zxkdrnrvolh1c62w6_UDP-0_RTP_1_A_329089_329964,"yeah
","yeah
",,,[],[],[],yeah. yeah.,[],[],[]
cs06M-kvjlmcgx--zn2yv4-19zxkdrnrvolh1c62w6_UDP-0_RTP_1_A_333209_334645,"cool me too
","cool me too
",,,[],[],[],yeah. cool. me to.,[],[],[]
cs06M-kvjlmcgx--zn2yv4-19zxkdrnrvolh1c62w6_UDP-0_RTP_1_A_335200_336505,"to my
","to my
",,,[],[],[],see you. bye.,[],[],[]
cs06M-kvjlmcgx--zn2yv4-19zxkdrnrvolh1c62w6_UDP-0_RTP_1_A_337100_338125,,,,,[],[],[],bye.,[],[],[]
cs06M-kvjlmcgy--zn2yv4-19zxkdrnrc91h-9ssy0e_UDP-0_RTP_1_A_019649_020235,"man
","and
",,,[],[],[],hey man.,[],[],[]
cs06M-kvjlmcgy--zn2yv4-19zxkdrnrc91h-9ssy0e_UDP-0_RTP_1_A_028810_036345,"everything is fine actually why i was calling cue on another phone do another person
","everything is fine actually why i was calling you on the phone to another person
",,,[],[],[],yeah everything is fine. actually why i was calling you on another phone to another person,[],[],[]
cs06M-kvjlmcgy--zn2yv4-19zxkdrnrc91h-9ssy0e_UDP-0_RTP_1_A_037090_053735,"uh reason just i just wanted to tell you the last time at a bar three because i knew that you like to break but you didn't you did i was changing like location so right now i'm i'm moving
","it's a reason just i just wanted to tell you the last time i bought three because i knew that you like to break but you didn't you didn't i was changing like location so right now i'm i'm moving
",[[]],[[]],[],[],[],is reason i just wanted to tell you that i will have time at half past three because i i knew that you got like a break. but you didn't knew that i was chaning like location so right now i'm i'm moving.,[],[],['half past three']
cs06M-kvjlmcgy--zn2yv4-19zxkdrnrc91h-9ssy0e_UDP-0_RTP_1_A_056270_058705,"yeah yeah yeah so
","yeah yeah yeah so
",,,[],[],[],yeah yeah yeah. so.,[],[],[]
cs06M-kvjlmcgy--zn2yv4-19zxkdrnrc91h-9ssy0e_UDP-0_RTP_1_A_059490_060055,,,,,[],[],[],okay.,[],[],[]
cs06M-kvjlmcgy--zn2yv4-19zxkdrnrc91h-9ssy0e_UDP-0_RTP_1_A_073940_075114,"yeah yeah
","yeah yeah
",,,[],[],[],yeah yeah.,[],[],[]
cs06M-kvjlmcgy--zn2yv4-19zxkdrnrc91h-9ssy0e_UDP-0_RTP_1_A_103330_104995,"yeah
","yeah
",,,[],[],[],yeah yeah yeah i.,[],[],[]
cs06M-kvjlmcgy--zn2yv4-19zxkdrnrc91h-9ssy0e_UDP-0_RTP_1_A_111650_120345,"yeah that that sounds great mhm mhm yeah you know come across around or stuff like that you can just see them
","yeah that that sounds great mhm mhm yeah i don't know come across around or something like that or you can just saeed
",,['saeed'],[],[],[],yeah that that sounds great yeah if there are no cameras around or stuff like that yeah you can just sit and have nice time.,[],[],[]
cs06M-kvjlmcgy--zn2yv4-19zxkdrnrc91h-9ssy0e_UDP-0_RTP_1_A_149400_149845,"yeah
","yeah
",,,[],[],[],yeah.,[],[],[]
cs06M-kvjlmcgy--zn2yv4-19zxkdrnrc91h-9ssy0e_UDP-0_RTP_1_A_151151_151395,,,,,[],[],[],so.,[],[],[]
cs06M-kvjlmcgy--zn2yv4-19zxkdrnrc91h-9ssy0e_UDP-0_RTP_1_A_166260_169226,"sunset through through together
","sunset okay do together
",,,[],[],[],sun set together yeah,[],[],[]
cs06M-kvjlmcgy--zn2yv4-19zxkdrnrc91h-9ssy0e_UDP-0_RTP_1_A_170642_176340,"i know he's but he eats you or me or right person for that may be
","i don't know if i eat eat you or me or right person for that may be
",,,[],[],[],i don't know i if if you or me are right persons for that maybe.,[],[],[]
cs06M-kvjlmcgy--zn2yv4-19zxkdrnrc91h-9ssy0e_UDP-0_RTP_1_A_183680_195858,"yeah yeah i guess so actually i got like one one lady here from from follows in munich so if you will get one on your side they can i can get anybody mine are
","yeah yeah i guess so actually i got like one one lady here from from boston in munich so if you really get one on your side they can i can get mine are
","[[], 'munich', []]","['boston', 'munich', []]",[],['munich'],[],yeah yeah. i guess so. actually i've got. like one one lady here from from past in in munich. so if you will get one on your side i can i can get in touch with mine,[],['munich'],[]
cs06M-kvjlmcgy--zn2yv4-19zxkdrnrc91h-9ssy0e_UDP-0_RTP_1_A_213410_219005,"yeah but but the duty business like when we won't be in person
","yeah but but but the dirty business like when we won't be in person
",,,[],[],[],yeah. better to leave business like when we will be in person.,[],[],[]
cs06M-kvjlmcgy--zn2yv4-19zxkdrnrc91h-9ssy0e_UDP-0_RTP_1_A_219610_220595,"no never know
","no never know
",,,[],[],[],you never know.,[],[],[]
cs06M-kvjlmcgy--zn2yv4-19zxkdrnrc91h-9ssy0e_UDP-0_RTP_1_A_231160_231575,"yeah
","yeah
",,,[],[],[],yeah.,[],[],[]
cs06M-kvjlmcgy--zn2yv4-19zxkdrnrc91h-9ssy0e_UDP-0_RTP_1_A_235160_248185,"cool cool just just send being done g._p._s. location because still most like i said the last time so if you give me the the places are in advance i find it
","cool cool just just send being done g._p._s. location because i feel like most like i said the last time so if you give me the the places are in advance i find it
",,,[],[],[],cool. cool. just. just send me then g p s location because still i am lost like i said the last time so if you will give me the the places in advance i will find it for sure.,[],[],[]
cs06M-kvjlmcgy--zn2yv4-19zxkdrnrc91h-9ssy0e_UDP-0_RTP_1_A_267360_268984,"yeah that would be
","yeah that would be
",,,[],[],[],yeah that that would be,[],[],[]
cs06M-kvjlmcgy--zn2yv4-19zxkdrnrc91h-9ssy0e_UDP-0_RTP_1_A_269529_272765,"groupies when that yeah yeah you
","groupies when that yeah yeah you
",,,[],[],[],that would be best. yeah. yeah. you,[],[],[]
cs06M-kvjlmcgy--zn2yv4-19zxkdrnrc91h-9ssy0e_UDP-0_RTP_1_A_273480_273854,"yeah
","yeah
",,,[],[],[],yeah.,[],[],[]
cs06M-kvjlmcgy--zn2yv4-19zxkdrnrc91h-9ssy0e_UDP-0_RTP_1_A_274370_277730,"that's interesting cause i think on your heart
","that's interesting katja anything else on your heart
",,['katja'],[],[],[],is that everything or do you have anything else on your heart,[],[],[]
cs06M-kvjlmcgy--zn2yv4-19zxkdrnrc91h-9ssy0e_UDP-0_RTP_1_A_286120_287044,"yeah yeah
","yeah yeah
",,,[],[],[],yeah. yeah.,[],[],[]
cs06M-kvjlmcgy--zn2yv4-19zxkdrnrc91h-9ssy0e_UDP-0_RTP_1_A_292010_296255,"yeah yeah i be old style guy steve in this
","yeah yeah a little bit old style guy steeped in this
",,,[],[],[],yeah. yeah. i'm little bit old-style guy in with this,[],[],[]
cs06M-kvjlmcgy--zn2yv4-19zxkdrnrc91h-9ssy0e_UDP-0_RTP_1_A_300610_301205,"okay
","okay
",,,[],[],[],okay.,[],[],[]
cs06M-kvjlmcgy--zn2yv4-19zxkdrnrc91h-9ssy0e_UDP-0_RTP_1_A_321070_321515,"yeah
","yeah
",,,[],[],[],yeah.,[],[],[]
cs06M-kvjlmcgy--zn2yv4-19zxkdrnrc91h-9ssy0e_UDP-0_RTP_1_A_325290_328414,"yes sooner sooner better yeah
","yeah sooner sooner better yeah
",,,[],[],[],yeah. sooner. sooner better.,[],[],[]
cs06M-kvjlmcgy--zn2yv4-19zxkdrnrc91h-9ssy0e_UDP-0_RTP_1_A_329089_329964,"yeah
","yeah
",,,[],[],[],yeah. yeah.,[],[],[]
cs06M-kvjlmcgy--zn2yv4-19zxkdrnrc91h-9ssy0e_UDP-0_RTP_1_A_333209_334645,"cool me too
","cool me too
",,,[],[],[],yeah. cool. me to.,[],[],[]
cs06M-kvjlmcgy--zn2yv4-19zxkdrnrc91h-9ssy0e_UDP-0_RTP_1_A_335200_336505,"to my
","to my
",,,[],[],[],see you. bye.,[],[],[]
cs06M-kvjlmcgy--zn2yv4-19zxkdrnrc91h-9ssy0e_UDP-0_RTP_1_A_337100_338125,,,,,[],[],[],bye.,[],[],[]
cs06M-kvjmvvjf--zmm41s-19zxkdrnrc3mf1cep7s_UDP-0_RTP_1_B_005290_010244,"are we going i don't know you should say always calling because
","i was going i don't know you should say always calling because
",,,[],[],[],who is calling? i don't know you you should say who is calling because.,[],[],[]
cs06M-kvjmvvjf--zmm41s-19zxkdrnrc3mf1cep7s_UDP-0_RTP_1_B_010890_013577,"this is this shouldn't be er number
","this this this shouldn't be our number
",,,[],[],[],this is. this should not be your number,[],[],[]
cs06M-kvjmvvjf--zmm41s-19zxkdrnrc3mf1cep7s_UDP-0_RTP_1_B_014427_021345,"usually it's some some woman on the other side so i went to i also want to know what calling
","usually it's some some woman on the other side so i went to i also want to know what we skalka
",,['skalka'],[],[],[],usually there is some some woman on the other side so i want to i also want to know who who is calling.,[],[],[]
cs06M-kvjmvvjf--zmm41s-19zxkdrnrc3mf1cep7s_UDP-0_RTP_1_B_026490_035964,"uh he's like that book or because i want to know preschool calling like the first one so you love you tell me all right
","uh it seems like that book or because i want to know who's calling like the first one so don't you love your will tell me all right
",,,[],[],[],seems like blocker because i want to know who is calling like the first one so either you you will tell me or i will,[],[],[]
cs06M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_B_007110_008824,"hello can you hear me well
","hello can you hear me well
",,,[],[],[],hello? can you hear me well?,[],[],[]
cs06M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_B_012440_021875,"i'm fine i'm sorry 'cause i was planning to called earlier but i got some troubles you phone
","hi i'm fine i'm sorry 'cause i was planning to go earlier but i got some troubles your phone
",,,[],[],[],hi. i'm fine. i just wanted to tell you sorry because i was planning to to call you little bit earlier. but i've got some troubles with new telephone.,[],[],[]
cs06M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_B_023040_023985,"anyway
","anyway
",,,[],[],[],anyway.,[],[],[]
cs06M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_B_024700_030335,"it seems seems solved ah so i was just thinking it's uh
","now it seems seems solved a so i was just thinking that uh
",,,[],[],[],now seems seems solved. so i was just thinking that .,[],[],[]
cs06M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_B_030890_039385,"everything went yesterday well and meet sold all the all our stuff all the cookies and what's really sweet evening
","everything went yesterday well and so all the all our stuff or the kuki what's really sweet evening
",,[[]],[],[],[],if everything went yesterday well. and you sold all the all our stuff all the cookies was really sweet evening.,[],[],['yesterday']
cs06M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_B_061150_062473,"mhm
","mhm
",,,[],[],[],yeah.,[],[],[]
cs06M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_B_065616_068355,"amazing amazing yeah
","amazing amazing yeah
",,,[],[],[],amazing. amazing. yeah.,[],[],[]
cs06M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_B_078910_079355,"yeah
","yeah
",,,[],[],[],yeah.,[],[],[]
cs06M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_B_083030_083945,"yeah
","yeah
",,,[],[],[],yeah.,[],[],[]
cs06M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_B_084970_089825,"yeah definitely it's one point these when we can give you more
","yeah definitely it's one point these when we can give you more
",[[]],[[]],[],[],[],yeah. definitely it's. one point is when we can give you more.,[],[],[]
cs06M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_B_090340_094925,"ah so let's say the articles definitive plan how to do it so
","ah so let's say the articles definitive plan how to do it so
",,,[],[],[],so let's say we are close to finish the plan how how to do it. so.,[],[],[]
cs06M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_B_095410_106008,"i think right now we are quite sure did the new new release and the place that be basically up to and then we need this really agree on on the pricing because
","i think right now we are quite sure did a new release in the place that needs to be basically up to you and then we need this really agree on on the pricing because
",,,[],[],[],i think right now we are quite sure that the new mule is in the place. then it will be basically up to you. and then we need to really agree on on the pricing because.,[],[],[]
cs06M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_B_106254_116995,"you know this is first child will just for for free and set up uh let's say market but next time you really neat quickly on the pricing
","you know this is first child was just for for free and set up a let's say market but next time you really need quickly on the price
",[[]],[[]],[],[],[],you know. this this first shot was just for for free and to set up the let's say market. but next time we we really need to agree on the pricing.,[],[],[]
cs06M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_B_119310_119765,"yeah
","yeah
",,,[],[],[],yeah.,[],[],[]
cs06M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_B_135740_136764,"yes yes
","yes yes
",,,[],[],[],yeah. yeah.,[],[],[]
cs06M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_B_138850_145425,"well you know for me and and to use their prices up to but uh
","well you know for me and and use the prices up too but uh
",,,[],[],[],yeah. you know. for me. end user price is up to you. but .,[],[],[]
cs06M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_B_145949_154801,"uh my idea off just enough to make the business he's like uh four ten yeah so i agree on on ten and
","my idea awful just enough to make the business it's like a fortune yeah oh i agree on on ten and
","[[], [], []]",[[]],[],[],[],my idea just between us to make the business is like for ten. yes? so like to agree on on ten and.,[],[],[]
cs06M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_B_156156_162980,"if you will multiplied twice or more it's completely up to uh to cover my people in me
","if you will multiplied twice or more it's completely up to cover my people in me
",,,[],[],[],if you will multiply it twice or more it's completely up to you to cover my people and me,[],[],[]
cs06M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_B_163300_166716,"it's like uh i like to sit up the price and i think
","it's like uh i like to set up the price which i think is
",,,[],[],[],it's like i would like to set up the price which i think is,[],[],[]
cs06M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_B_166978_169705,"his boots the though actually
","these dudes are actually
",,,[],[],[],is good. it's the the actually,[],[],[]
cs06M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_B_170300_173425,"which for everyone it's like them but they can
","which for everyone it's like them but they can
",,,[],[],[],good for everyone. it's like ten. but. we can.,[],[],[]
cs06M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_B_185520_187052,"get perfect so
","well good for me so
",,,[],[],[],okay. perfect. so.,[],[],[]
cs06M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_B_187418_194920,"they'll they'll get in touch with my guys and i think like by the end of the next week you look at
","they'll they'll get in touch with my guys and i think like by the end of the next week you look at
",[[]],[[]],[],[],['the end of the next week'],i will. i will get in touch with with my guys and i think like by the end of the next week you will get.,[],[],['the end of the next week']
cs06M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_B_195225_200585,"you know not not around so in these it's uh at your house
","you know not not around in these it's a at your house
",,,[],[],[],you will give anothar another round of candies at at your house,[],[],[]
cs06M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_B_211709_212384,"yeah
","yeah
",,,[],[],[],yes.,[],[],[]
cs06M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_B_214160_221830,"see i see them though even fine line uh over to be maybe in text messaging look even better
","i see i see that even finalize a over to be maybe in the saeed look even better
",,['saeed'] ,[],[],[],i see. i see. we will even finalize over the week. maybe in text messages it will be even better.,[],[],['the week']
cs06M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_B_223291_226152,"how much you want yeah right
","how much you want yeah right
",,,[],[],[],how much you want. yeah?,[],[],[]
cs06M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_B_236910_238135,"who
","who
",,,[],[],[],okay. cool.,[],[],[]
cs06M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_B_238830_240525,"everything
","everything
",,,[],[],[],cool. everything from my side.,[],[],[]
cs06M-kvkygrcg--zmca42-19zxkdrp3d41yn2mifm_UDP-0_RTP_1_B_245530_248302,"was nice i in the rye
","neither do i
",,,[],[],[],have a nice afternoon. see you. bye.,[],[],[]
cs06M-kvl02nt3--zn2yv4-19zxkdroyzl671cn9is_UDP-0_RTP_1_A_001600_003445,"oh hi matt how're you doing
","oh hi maniny how are you doing
",['matt'],['maniny'],['matt'],[],[],hello? hi man. how are you doing?,[],[],[]
cs06M-kvl02nt3--zn2yv4-19zxkdroyzl671cn9is_UDP-0_RTP_1_A_005220_005825,"good
","good
",,,[],[],[],good.,[],[],[]
cs06M-kvl02nt3--zn2yv4-19zxkdroyzl671cn9is_UDP-0_RTP_1_A_006888_007795,"i'm also route
","i'm also route
",,,[],[],[],i'm also good.,[],[],[]
cs06M-kvl02nt3--zn2yv4-19zxkdroyzl671cn9is_UDP-0_RTP_1_A_014022_015055,"how you find that
","so you find that
",,,[],[],[],are you fine with that?,[],[],[]
cs06M-kvl02nt3--zn2yv4-19zxkdroyzl671cn9is_UDP-0_RTP_1_A_016800_023525,"yeah sure so maybe you know maybe you are you don't know i'm just in in germany
","yeah sure so maybe you know maybe you are we don't know i'm just in in germany
",['germany'],['germany'],[],['germany'],[],yeah. sure. so maybe you know. maybe you are. you don't know. i'm just in in germany.,[],['germany'],[]
cs06M-kvl02nt3--zn2yv4-19zxkdroyzl671cn9is_UDP-0_RTP_1_A_023965_027718,"and uh yeah i was thinking of going well here
","and uh yeah i was thinking of going well here
",,,[],[],[],and yeah. everything is doing well here.,[],[],[]
cs06M-kvl02nt3--zn2yv4-19zxkdroyzl671cn9is_UDP-0_RTP_1_A_028053_034988,"maybe it's too good and guys are immediately asking if seek can bring them like
","maybe it's too good and guys are immediately asking if you can bring them like
",,,[],[],[],maybe it's. it is too good. and guys are immediately asking if we can bring them like.,[],[],[]
cs06M-kvl02nt3--zn2yv4-19zxkdroyzl671cn9is_UDP-0_RTP_1_A_035493_038051,"little be more more lately too big moral school spooky
","little bit more maniny a little bit more of kuki
",,,[],[],[],little bit more molly. little bit more of cookies.,[],[],[]
cs06M-kvl02nt3--zn2yv4-19zxkdroyzl671cn9is_UDP-0_RTP_1_A_038337_041987,"so there are quite quite that big i mean
","so there are quite quite that big i mean
",,,[],[],[],so they are quite quite happy. i mean.,[],[],[]
cs06M-kvl02nt3--zn2yv4-19zxkdroyzl671cn9is_UDP-0_RTP_1_A_042378_050818,"uh darryl little spark d._c. right now even when there is coby everywhere but still nice german guys who like to have some parties
","uh darryl to spark d._c. right now even when there's coffee everywhere but still these german guys would like to have some parties
","['darryl', []]","['darryl', []]",['darryl'],[],[],there are lot of parties right now even when there is covid everywhere but still these german guys would like to have some parties.,[],[],[]
cs06M-kvl02nt3--zn2yv4-19zxkdroyzl671cn9is_UDP-0_RTP_1_A_051141_057281,"so the question is if you've got something in the house if i can pick something up and
","so the question is if you've got something in the house if i can pick something up and
",,,[],[],[],so he question is if you've got something in house. if i can pick something up and.,[],[],[]
cs06M-kvl02nt3--zn2yv4-19zxkdroyzl671cn9is_UDP-0_RTP_1_A_057707_062195,"if it's gonna be available like uh till the night until the end of the next week
","if it's gonna be available like uh till till the end of the next week
",[[]],[[]],[],[],['the end of the next week'],if it will be available like till the till the end of the next week.,[],[],['the end of the next week']
cs06M-kvl02nt3--zn2yv4-19zxkdroyzl671cn9is_UDP-0_RTP_1_A_068870_071945,"yeah so i i guess like in in three days
","yeah so i i guess like in three days
",[[]],[[]],[],[],['three days'],yeah. so i i guess like in in three days.,[],[],['three days']
cs06M-kvl02nt3--zn2yv4-19zxkdroyzl671cn9is_UDP-0_RTP_1_A_072021_078242,"you did find they gonna be just returning tomorrow and then i would like to actually go to so i guess in three days
","you did find a that would be just returning tomorrow and then i would like to go to so i guess in three days
","[[], []]","[[], []]",[],[],"['tomorrow', 'three days']",is that fine? we will be just returning tomorrow and then i would like to directly go to you. so i guess in three days.,[],[],"['tomorrow', 'three days']"
cs06M-kvl02nt3--zn2yv4-19zxkdroyzl671cn9is_UDP-0_RTP_1_A_078548_079385,"okay
","okay
",,,[],[],[],is it okay?,[],[],[]
cs06M-kvl02nt3--zn2yv4-19zxkdroyzl671cn9is_UDP-0_RTP_1_A_084430_084995,"okay
","okay
",,,[],[],[],okay.,[],[],[]
cs06M-kvl02nt3--zn2yv4-19zxkdroyzl671cn9is_UDP-0_RTP_1_A_087440_090985,"okay so we're like human like five days or how much how many
","okay so like human like five days or how much how many
",[[]],[[]],[],[],['five days'],okay. so like. you mean. like five days? or how much? how many?,[],[],['five days']
cs06M-kvl02nt3--zn2yv4-19zxkdroyzl671cn9is_UDP-0_RTP_1_A_092930_098480,"okay because then i i need to do to give it to another guy like we'll we'll be traveling here
","okay because then i i need to do to give it to another guy like well we'll be traveling here
",,,[],[],[],okay. because then i i need to to give it to another guy like who will be traveling here.,[],[],[]
cs06M-kvl02nt3--zn2yv4-19zxkdroyzl671cn9is_UDP-0_RTP_1_A_098980_103036,"here again and then the regular recently they'll have like even guy who
","here again and then regularly so we have like a guy who
",,,[],[],[],here again and then regularly so we will have like even guy who .,[],[],[]
cs06M-kvl02nt3--zn2yv4-19zxkdroyzl671cn9is_UDP-0_RTP_1_A_103403_112459,"don't know what these working but he's going gregory in between vietnam and and munich so would be really good
","don't know what he's working he's going gregory in between vietnam and in munich so that would be really good
","['vietnam', 'munich']","['vietnam', 'munich']",[],"['vietnam', 'munich']",[],don't know what what he's working with but he's going regularly in between vienna and and munich. so that will be really good.,[],"['vienna', 'munich']",[]
cs06M-kvl02nt3--zn2yv4-19zxkdroyzl671cn9is_UDP-0_RTP_1_A_112866_115104,"okay fine so yeah
","okay fine so
",,,[],[],[],okay. fine. so. yeah.,[],[],[]
cs06M-kvl02nt3--zn2yv4-19zxkdroyzl671cn9is_UDP-0_RTP_1_A_115340_121060,"right now i just need to enforce it every single b. movie ready and five days
","right now i just need a in for that everything will be will be ready and five days
",[[]],[[]],[],[],['five days'],right now i just need the info that everything will be will be ready in five days. yeah.,[],[],['five days']
cs06M-kvl02nt3--zn2yv4-19zxkdroyzl671cn9is_UDP-0_RTP_1_A_121222_123635,"if anything outside they'll call you again okay
","if anything outside they'll call you again okay
",,,[],[],[],if anything else i will call you again. okay?,[],[],[]
cs06M-kvl02nt3--zn2yv4-19zxkdroyzl671cn9is_UDP-0_RTP_1_A_124140_127995,"good good good not good time
","good good good night good time
",,,[],[],[],good. good. so. have a good good time. see you.,[],[],[]
cs06M-kvl02nt3--zn2yv4-19zxkdroyzl671cn9is_UDP-0_RTP_1_A_129030_129745,"right
","right
",,,[],[],[],bye bye.,[],[],[]
cs06M-kvl0d3n7--zn2yv4-19zxkdroyzm8x-ihvyu8_UDP-0_RTP_1_A_001730_003025,"hi nancy how are you
","hi nancy how are you
",['nancy'],['nancy'],['nancy'],[],[],hey man. how are you?,[],[],[]
cs06M-kvl0d3n7--zn2yv4-19zxkdroyzm8x-ihvyu8_UDP-0_RTP_1_A_004840_005425,"okay
","okay
",,,[],[],[],okay.,[],[],[]
cs06M-kvl0d3n7--zn2yv4-19zxkdroyzm8x-ihvyu8_UDP-0_RTP_1_A_006313_012261,"i'm fine okay so it's again again i just got something about
","i'm fine okay so it's again again i just got something about
",,,[],[],[],i'm fine. okay so it's. again. again i would discuss something about business with you.,[],[],[]
cs06M-kvl0d3n7--zn2yv4-19zxkdroyzm8x-ihvyu8_UDP-0_RTP_1_A_012882_020095,"so guys here are well think of pressure on me to go it's lower the prices
","so guys here are well think of pressure on me to go to lower the prices
",,,[],[],[],so guys here are putting the pressure on me to go little bit lower with the prices.,[],[],[]
cs06M-kvl0d3n7--zn2yv4-19zxkdroyzm8x-ihvyu8_UDP-0_RTP_1_A_020610_023195,"so i was thinking if uh
","so i was thinking is uh
",,,[],[],[],so i was thinking if,[],[],[]
cs06M-kvl0d3n7--zn2yv4-19zxkdroyzm8x-ihvyu8_UDP-0_RTP_1_A_023690_030270,"can get this stuff from you mainly mainly molly uh below ten ten bucks
","i can get this stuff from you mainly mainly mainly uh below ten ten bucks
",[[]],[[]],[],[],[],i can get this stuff from you mainly the mainly molly below ten ten bucks.,[],[],[]
cs06M-kvl0d3n7--zn2yv4-19zxkdroyzm8x-ihvyu8_UDP-0_RTP_1_A_030780_032235,"think it's doable
","think it's doable
",,,[],[],[],do you think it's doable?,[],[],[]
